slot_index,time_s,interface,direction,source,destination,message_type,serialized_bytes
0,4.02,A1,downlink,NonRT-RIC,NearRT-RIC-1,slot_policy_update,90
0,4.02,A1,downlink,NonRT-RIC,NearRT-RIC-2,slot_policy_update,90
0,4.033,E2,uplink,E2Node-905,NearRT-RIC-1,ns3::OranReportLocation,67
0,4.033,E2,uplink,E2Node-906,NearRT-RIC-1,ns3::OranReportLocation,66
0,4.033,E2,uplink,E2Node-907,NearRT-RIC-1,ns3::OranReportLocation,66
0,4.033,E2,uplink,E2Node-908,NearRT-RIC-1,ns3::OranReportLocation,67
0,4.033,E2,uplink,E2Node-909,NearRT-RIC-2,ns3::OranReportLocation,66
0,4.033,E2,uplink,E2Node-910,NearRT-RIC-2,ns3::OranReportLocation,65
0,4.033,E2,uplink,E2Node-911,NearRT-RIC-2,ns3::OranReportLocation,65
0,4.033,E2,uplink,E2Node-912,NearRT-RIC-2,ns3::OranReportLocation,66
0,4.058,E2,downlink,NearRT-RIC-1,E2Node-905,FORWARD,33
0,4.058,E2,downlink,NearRT-RIC-1,E2Node-906,FORWARD,33
0,4.058,E2,downlink,NearRT-RIC-1,E2Node-907,FORWARD,33
0,4.058,E2,downlink,NearRT-RIC-2,E2Node-909,FORWARD,33
0,4.058,E2,downlink,NearRT-RIC-2,E2Node-910,FORWARD,33
0,4.058,E2,downlink,NearRT-RIC-2,E2Node-911,FORWARD,33
1,8.02,A1,downlink,NonRT-RIC,NearRT-RIC-1,slot_policy_update,90
1,8.02,A1,downlink,NonRT-RIC,NearRT-RIC-2,slot_policy_update,90
1,8.02,O1,downlink,NonRT-RIC,DU2,cz_reassignment,90
1,8.02,O1,downlink,NonRT-RIC,DU3,cz_reassignment,90
1,8.02,O1,downlink,NonRT-RIC,DU5,cz_reassignment,90
1,8.02,O1,downlink,NonRT-RIC,DU6,cz_reassignment,90
1,8.034,E2,uplink,E2Node-905,NearRT-RIC-1,ns3::OranReportLocation,67
1,8.034,E2,uplink,E2Node-906,NearRT-RIC-2,ns3::OranReportLocation,65
1,8.034,E2,uplink,E2Node-907,NearRT-RIC-2,ns3::OranReportLocation,65
1,8.034,E2,uplink,E2Node-908,NearRT-RIC-1,ns3::OranReportLocation,67
1,8.034,E2,uplink,E2Node-909,NearRT-RIC-2,ns3::OranReportLocation,66
1,8.034,E2,uplink,E2Node-910,NearRT-RIC-1,ns3::OranReportLocation,66
1,8.034,E2,uplink,E2Node-911,NearRT-RIC-1,ns3::OranReportLocation,66
1,8.034,E2,uplink,E2Node-912,NearRT-RIC-2,ns3::OranReportLocation,66
1,8.059,E2,downlink,NearRT-RIC-1,E2Node-911,FORWARD,33
1,8.059,E2,downlink,NearRT-RIC-2,E2Node-907,FORWARD,33
2,12.02,A1,downlink,NonRT-RIC,NearRT-RIC-1,slot_policy_update,90
2,12.02,A1,downlink,NonRT-RIC,NearRT-RIC-2,slot_policy_update,90
2,12.033,E2,uplink,E2Node-905,NearRT-RIC-1,ns3::OranReportLocation,68
2,12.033,E2,uplink,E2Node-906,NearRT-RIC-2,ns3::OranReportLocation,66
2,12.033,E2,uplink,E2Node-907,NearRT-RIC-2,ns3::OranReportLocation,66
2,12.033,E2,uplink,E2Node-908,NearRT-RIC-1,ns3::OranReportLocation,68
2,12.033,E2,uplink,E2Node-909,NearRT-RIC-2,ns3::OranReportLocation,67
2,12.033,E2,uplink,E2Node-910,NearRT-RIC-1,ns3::OranReportLocation,67
2,12.033,E2,uplink,E2Node-911,NearRT-RIC-1,ns3::OranReportLocation,67
2,12.033,E2,uplink,E2Node-912,NearRT-RIC-2,ns3::OranReportLocation,67
