time,throughput_mbps,path
6.5,1.38004,received@CU2
6.55,6.06208,received@CU2
6.6,6.06208,received@CU2
6.65,5.89824,received@CU2
6.7,5.89824,received@CU2
6.75,6.06208,received@CU2
6.8,6.06208,received@CU2
6.85,6.06208,received@CU2
6.9,5.89824,received@CU2
6.95,5.89824,received@CU2
7,6.22592,received@CU2
7.05,5.89824,received@CU2
7.1,6.06208,received@CU2
7.15,5.89824,received@CU2
7.2,6.06208,received@CU2
7.25,5.89824,received@CU2
7.3,6.22592,received@CU2
7.35,5.89824,received@CU2
7.4,5.89824,received@CU2
7.45,6.06208,received@CU2
7.5,5.89824,received@CU2
7.55,6.06208,received@CU2
7.6,6.06208,received@CU2
7.65,5.89824,received@CU2
7.7,6.06208,received@CU2
7.75,5.89824,received@CU2
7.8,6.22592,received@CU2
7.85,5.89824,received@CU2
7.9,5.89824,received@CU2
7.95,6.06208,received@CU2
8,5.89824,received@CU2
8.05,2.29376,received@CU2
8.1,5.07904,received@CU2
8.15,6.71744,received@CU2
8.2,7.04512,received@CU2
8.25,7.20896,received@CU2
8.3,6.88128,received@CU2
8.35,7.04512,received@CU2
8.4,7.04512,received@CU2
8.45,6.88128,received@CU2
8.5,7.04512,received@CU2
8.55,6.88128,received@CU2
8.6,7.20896,received@CU2
8.65,7.04512,received@CU2
8.7,6.88128,received@CU2
8.75,6.88128,received@CU2
8.8,7.04512,received@CU2
8.85,7.04512,received@CU2
8.9,7.04512,received@CU2
8.95,6.88128,received@CU2
9,7.20896,received@CU2
9.05,6.5536,received@CU2
9.1,7.3728,received@CU2
9.15,7.04512,received@CU2
9.2,6.88128,received@CU2
9.25,7.20896,received@CU2
9.3,6.5536,received@CU2
9.35,6.88128,received@CU2
9.4,7.53664,received@CU2
9.45,6.88128,received@CU2
9.5,7.04512,received@CU2
9.55,6.88128,received@CU2
9.6,7.04512,received@CU2
9.65,6.88128,received@CU2
9.7,7.04512,received@CU2
9.75,6.88128,received@CU2
9.8,7.20896,received@CU2
9.85,7.04512,received@CU2
9.9,7.04512,received@CU2
9.95,7.04512,received@CU2
10,6.5536,received@CU2
10.05,7.3728,received@CU2
10.1,6.88128,received@CU2
10.15,7.04512,received@CU2
10.2,6.88128,received@CU2
10.25,6.88128,received@CU2
10.3,7.20896,received@CU2
10.35,7.04512,received@CU2
10.4,7.20896,received@CU2
10.45,6.5536,received@CU2
10.5,7.3728,received@CU2
10.55,6.88128,received@CU2
10.6,7.04512,received@CU2
10.65,6.71744,received@CU2
10.7,7.04512,received@CU2
10.75,7.20896,received@CU2
10.8,7.04512,received@CU2
10.85,7.04512,received@CU2
10.9,7.04512,received@CU2
10.95,6.88128,received@CU2
11,6.88128,received@CU2
