time,throughput_mbps,path
6.5,0.691909,DU2->DU3->CU1
6.55,2.94912,DU2->DU3->CU1
6.6,2.94912,DU2->DU3->CU1
6.65,3.11296,DU2->DU3->CU1
6.7,2.94912,DU2->DU3->CU1
6.75,2.94912,DU2->DU3->CU1
6.8,3.11296,DU2->DU3->CU1
6.85,2.94912,DU2->DU3->CU1
6.9,2.94912,DU2->DU3->CU1
6.95,2.94912,DU2->DU3->CU1
7,3.11296,DU2->DU3->CU1
7.05,2.94912,DU2->DU3->CU1
7.1,2.94912,DU2->DU3->CU1
7.15,3.11296,DU2->DU3->CU1
7.2,2.94912,DU2->DU3->CU1
7.25,2.94912,DU2->DU3->CU1
7.3,3.11296,DU2->DU3->CU1
7.35,2.94912,DU2->DU3->CU1
7.4,2.94912,DU2->DU3->CU1
7.45,3.11296,DU2->DU3->CU1
7.5,2.94912,DU2->DU3->CU1
7.55,2.94912,DU2->DU3->CU1
7.6,2.94912,DU2->DU3->CU1
7.65,3.11296,DU2->DU3->CU1
7.7,2.94912,DU2->DU3->CU1
7.75,2.94912,DU2->DU3->CU1
7.8,3.11296,DU2->DU3->CU1
7.85,2.94912,DU2->DU3->CU1
7.9,2.94912,DU2->DU3->CU1
7.95,3.11296,DU2->DU3->CU1
8,2.94912,DU2->DU3->CU2
8.05,0,DU2->DU3->CU2
8.1,0,DU2->DU3->CU2
8.15,0,DU2->DU3->CU2
8.2,0,DU2->DU3->CU2
8.25,3.11296,DU2->DU3->CU2
8.3,2.94912,DU2->DU3->CU2
8.35,2.94912,DU2->DU3->CU2
8.4,2.94912,DU2->DU3->CU2
8.45,3.11296,DU2->DU3->CU2
8.5,2.78528,DU2->DU3->CU2
8.55,2.94912,DU2->DU3->CU2
8.6,3.2768,DU2->DU3->CU2
8.65,2.78528,DU2->DU3->CU2
8.7,3.11296,DU2->DU3->CU2
8.75,3.11296,DU2->DU3->CU2
8.8,2.94912,DU2->DU3->CU2
8.85,2.94912,DU2->DU3->CU2
8.9,2.94912,DU2->DU3->CU2
8.95,3.11296,DU2->DU3->CU2
9,2.94912,DU2->DU3->CU2
9.05,2.94912,DU2->DU3->CU2
9.1,3.11296,DU2->DU3->CU2
9.15,2.94912,DU2->DU3->CU2
9.2,2.94912,DU2->DU3->CU2
9.25,2.94912,DU2->DU3->CU2
9.3,3.11296,DU2->DU3->CU2
9.35,2.94912,DU2->DU3->CU2
9.4,2.94912,DU2->DU3->CU2
9.45,2.94912,DU2->DU3->CU2
9.5,3.11296,DU2->DU3->CU2
