time,throughput_mbps,path
6.5,0.461273,DU3->CU1
6.55,1.96608,DU3->CU1
6.6,1.96608,DU3->CU1
6.65,1.96608,DU3->CU1
6.7,2.12992,DU3->CU1
6.75,1.96608,DU3->CU1
6.8,1.96608,DU3->CU1
6.85,1.96608,DU3->CU1
6.9,1.96608,DU3->CU1
6.95,2.12992,DU3->CU1
7,1.96608,DU3->CU1
7.05,1.96608,DU3->CU1
7.1,1.96608,DU3->CU1
7.15,1.96608,DU3->CU1
7.2,2.12992,DU3->CU1
7.25,1.96608,DU3->CU1
7.3,1.96608,DU3->CU1
7.35,1.96608,DU3->CU1
7.4,1.96608,DU3->CU1
7.45,2.12992,DU3->CU1
7.5,1.96608,DU3->CU1
7.55,1.96608,DU3->CU1
7.6,1.96608,DU3->CU1
7.65,1.96608,DU3->CU1
7.7,2.12992,DU3->CU1
7.75,1.96608,DU3->CU1
7.8,1.96608,DU3->CU1
7.85,1.96608,DU3->CU1
7.9,2.12992,DU3->CU1
7.95,1.96608,DU3->CU1
8,1.96608,DU3->CU2
8.05,0,DU3->CU2
8.1,1.47456,DU3->CU2
8.15,2.12992,DU3->CU2
8.2,1.96608,DU3->CU2
8.25,1.96608,DU3->CU2
8.3,1.96608,DU3->CU2
8.35,1.96608,DU3->CU2
8.4,2.12992,DU3->CU2
8.45,1.96608,DU3->CU2
8.5,1.96608,DU3->CU2
8.55,1.96608,DU3->CU2
8.6,1.96608,DU3->CU2
8.65,2.12992,DU3->CU2
8.7,1.96608,DU3->CU2
8.75,1.96608,DU3->CU2
8.8,1.96608,DU3->CU2
8.85,1.96608,DU3->CU2
8.9,2.12992,DU3->CU2
8.95,1.96608,DU3->CU2
9,1.96608,DU3->CU2
9.05,1.96608,DU3->CU2
9.1,1.96608,DU3->CU2
9.15,2.12992,DU3->CU2
9.2,1.96608,DU3->CU2
9.25,1.96608,DU3->CU2
9.3,1.96608,DU3->CU2
9.35,2.12992,DU3->CU2
9.4,1.96608,DU3->CU2
9.45,1.96608,DU3->CU2
9.5,1.96608,DU3->CU2
9.55,1.96608,DU3->CU2
9.6,2.12992,DU3->CU2
9.65,1.96608,DU3->CU2
9.7,1.96608,DU3->CU2
9.75,1.96608,DU3->CU2
9.8,1.96608,DU3->CU2
9.85,2.12992,DU3->CU2
9.9,1.96608,DU3->CU2
9.95,1.96608,DU3->CU2
10,1.96608,DU3->CU2
10.05,1.96608,DU3->CU2
10.1,2.12992,DU3->CU2
10.15,1.96608,DU3->CU2
10.2,1.96608,DU3->CU2
10.25,1.96608,DU3->CU2
10.3,1.96608,DU3->CU2
10.35,2.12992,DU3->CU2
10.4,1.96608,DU3->CU2
10.45,1.96608,DU3->CU2
10.5,1.96608,DU3->CU2
10.55,1.96608,DU3->CU2
10.6,2.12992,DU3->CU2
10.65,1.96608,DU3->CU2
10.7,1.96608,DU3->CU2
10.75,1.96608,DU3->CU2
10.8,2.12992,DU3->CU2
10.85,1.96608,DU3->CU2
10.9,1.96608,DU3->CU2
10.95,1.96608,DU3->CU2
11,1.96608,DU3->CU2
